ZIP_5,STATE,location,Latitude,Longitude,distance_to_hospital
27455,NC,"Greensboro, NC 27455, USA",36.1857974,-79.8184684,50.70420100631558
24540,VA,"Danville, VA 24540, USA",36.6313237,-79.4028639,50.309416512511575
28339,NC,"Erwin, NC 28339, USA",35.3094774,-78.713608,49.81423646795054
27403,NC,"Greensboro, NC 27403, USA",36.0733691,-79.8240715,49.737412498668434
28327,NC,"Carthage, NC 28327, USA",35.40687,-79.4253776,49.687289239383965
27880,NC,"Sims, NC 27880, USA",35.7274657,-78.1222336,49.57346768606401
27320,NC,"Reidsville, NC 27320, USA",36.3790421,-79.6951103,49.44232469732822
27317,NC,"Randleman, NC 27317, USA",35.8392781,-79.7960523,49.41176482103626
27408,NC,"Greensboro, NC 27408, USA",36.1046869,-79.8128649,49.35313182865771
27807,NC,"Bailey, NC 27807, USA",35.8208896,-78.0880129,49.25161752663061
27589,NC,"Warrenton, NC 27589, USA",36.3208776,-78.1564432,48.66906317309097
27326,NC,"Ruffin, NC 27326, USA",36.4763084,-79.582819,48.41246394805909
27816,NC,"Castalia, NC 27816, USA",36.1214191,-78.0880129,48.10394396746046
27882,NC,"Spring Hope, NC 27882, USA",35.9068718,-78.0880129,48.01764376502083
27504,NC,"Benson, NC 27504, USA",35.3907897,-78.54337009999999,47.985432199775225
27553,NC,"Manson, NC 27553, USA",36.4862274,-78.3159411,47.91485206807962
28323,NC,"Bunnlevel, NC 28323, USA",35.3200912,-78.8269385,47.872444653344054
27576,NC,"Selma, NC 27576, USA",35.5804492,-78.2703951,47.614807799372876
27577,NC,"Smithfield, NC 27577, USA",35.5029834,-78.36146719999999,47.50522205751048
24543,,"Danville, VA 24543, USA",36.58000000000001,-79.39999999999999,47.222150337868754
24594,VA,"Sutherlin, VA 24594, USA",36.6460112,-79.2112769,46.69917611169364
24529,VA,"Buffalo Junction, VA 24529, USA",36.6334594,-78.62285039999999,46.689752050654484
27311,NC,"Pelham, NC 27311, USA",36.5111522,-79.4928857,46.582881956875184
24592,VA,"Turbeville, VA 24592, USA",36.6795362,-78.9966888,46.57706822650306
24586,VA,"Ringgold, VA 24586, USA",36.619134,-79.2676668,46.10762298530243
27406,NC,"Greensboro, NC 27406, USA",36.0196499,-79.7624177,46.10557219289714
23927,VA,"Clarksville, VA 23927, USA",36.5938059,-78.54337009999999,46.09962124302735
27405,NC,"Greensboro, NC 27405, USA",36.1155274,-79.7512033,46.05636577310535
27401,NC,"Greensboro, NC 27401, USA",36.0676041,-79.7568107,45.960632565980504
27248,NC,"Franklinville, NC 27248, USA",35.8001643,-79.7175517,45.93251658156442
27313,NC,"Pleasant Garden, NC 27313, USA",35.9217252,-79.7512033,45.8796802613276
28368,NC,"Olivia, NC 28368, USA",35.361351,-79.11163119999999,45.6733749119406
27208,NC,"Bennett, NC 27208, USA",35.556588,-79.5266211,45.3754801838294
28355,NC,"Lemon Springs, NC 28355, USA",35.3901897,-79.19447319999999,44.995270227184584
27557,NC,"Middlesex, NC 27557, USA",35.7773262,-78.1906417,44.72271612561826
27584,NC,"Townsville, NC 27584, USA",36.4937984,-78.4241614,44.150337990282914
27316,NC,"Ramseur, NC 27316, USA",35.7059958,-79.6277523,43.891539630989016
27593,NC,"Wilsons Mills, NC 27593, USA",35.5829832,-78.3568414,43.79506822591733
27556,NC,"Middleburg, NC 27556, USA",36.3972529,-78.32021,43.72108128984496
27521,NC,"Coats, NC 27521, USA",35.4134951,-78.6682395,43.70946827912735
24580,VA,"Nelson, VA 24580, USA",36.5951908,-78.6682395,43.31297598807002
27546,NC,"Lillington, NC 27546, USA",35.38163,-78.9061921,43.251709094980086
27332,NC,"Sanford, NC 27332, USA",35.4023416,-79.1322744,43.18868678346627
27315,NC,"Providence, NC 27315, USA",36.5128163,-79.391605,43.135662155860146
24598,VA,"Virgilina, VA 24598, USA",36.615596,-78.77028949999999,43.06256575295889
27214,NC,"Browns Summit, NC 27214, USA",36.2152163,-79.6614376,42.88608829424649
27505,NC,"Broadway, NC 27505, USA",35.3899723,-78.9966888,42.76809528533254
27301,NC,"McLeansville, NC 27301, USA",36.1097128,-79.6838874,42.283316258895944
27527,NC,"Clayton, NC 27527, USA",35.6325169,-78.36146719999999,41.37252578477402
27507,NC,"Bullock, NC 27507, USA",36.5128839,-78.5887951,39.985911589711726
27283,NC,"Julian, NC 27283, USA",35.9551354,-79.63898209999999,39.378933300919776
24520,VA,"Alton, VA 24520, USA",36.5674599,-79.0532061,39.24880062327629
27520,NC,"Clayton, NC 27520, USA",35.5981967,-78.4524591,39.20801599027016
27305,NC,"Milton, NC 27305, USA",36.5199524,-79.233837,39.08931161544065
27501,NC,"Angier, NC 27501, USA",35.4805515,-78.6909263,38.922068424688845
27355,NC,"Staley, NC 27355, USA",35.7767155,-79.5715822,38.89313145751787
27549,NC,"Centerville, NC 27549, USA",36.0730279,-78.24761459999999,38.81707801231626
27252,NC,"Goldston, NC 27252, USA",35.5623451,-79.3465557,38.33684505850461
27249,NC,"Gibsonville, NC 27249, USA",36.1663776,-79.59405439999999,38.270203863890934
27508,NC,"Bunn, NC 27508, USA",35.9561072,-78.25900539999999,38.10385276198465
27536,NC,"Henderson, NC 27536, USA",36.3338756,-78.39559860000001,37.73154422358425
27207,NC,"Bear Creek, NC 27207, USA",35.6096133,-79.391605,37.435352004527346
27298,NC,"Liberty, NC 27298, USA",35.874799,-79.582819,37.232700834041346
